fileProducerOrganization,Princeton University Library Digital Initiatives
targetType,Internal
targetManufacturer,Kodak
targetName,Q-13
targetNo,NA
targetMedia,NA
targetIDSerialNo,NA
hostComputerManufacturer,Apple
hostComputerName,Mac Pro
operatingSystem,OSX
operatingSystemVersion,10.7.x
imageCaptureDevice,Phase One
imageDeviceModelNumber,P40
imageDeviceModelSerialNo,EG031639, EG031575
imageDeviceSoftware,Capture One
imageDeviceSoftwareVersionNo,6.4.3
lightingManufacturer,Northlight
lightingModelName,LED36
lightingModelNumber,NA
colorTemp (lighting),5150K
digitalChipManufacturer,Dalsa
digitalChipModelName,NA
digitalChipModelNumber,NA
digitalChipModelSerialNo,EG031639, EG031575
numOfEffectivePixelsWidth (chip),5484
numOfEffectivePixelsLength,7320
sensorSize,6 microns
lensManufacturer,Schneider
lensModelName,Apo-Digitar
lensModelNumber,NA
focalLength (lens),0.090
